1	2	3	4	5	6	7	8	9	10
0	5	61	1	0	0	0	1	0	42
0	19	52	2	0	0	0	0	3	43
0	6	15	0	1	0	0	0	1	44
0	7	17	0	1	0	0	1	2	45
0	4	16	0	1	0	0	1	0	46
0	7	31	2	0	0	0	0	0	47
0	8	25	0	0	0	0	0	1	48
0	3	14	2	0	0	0	0	1	48
0	15	30	0	1	0	0	0	1	49
0	12	21	0	1	0	0	0	0	50
0	5	7	2	0	0	0	0	0	51
0	5	49	2	0	0	0	0	1	52
0	8	7	2	0	0	1	0	0	53
0	16	16	2	0	1	0	1	2	53
0	4	11	0	1	0	0	0	0	54
0	4	11	0	1	0	0	0	0	54
0	1	10	1	0	0	0	0	0	55
0	11	25	0	1	0	0	0	3	56
0	6	27	2	0	0	0	1	0	57
0	14	27	0	1	0	0	0	1	58
0	18	28	2	0	0	0	0	2	59
0	17	11	0	0	0	0	1	3	59
0	22	69	0	0	0	0	0	1	60
0	14	27	2	0	0	0	0	0	61
0	11	27	2	0	0	0	1	2	62
0	14	56	0	0	0	0	0	0	62
0	3	29	0	1	0	0	0	0	63
0	15	49	0	0	0	0	0	2	64
0	12	57	1	1	0	0	0	0	64
0	3	21	1	0	0	0	0	1	64
0	3	21	1	0	0	0	0	1	64
0	10	3	0	1	1	0	0	1	65
0	21	28	1	1	1	0	0	1	65
0	11	52	0	0	0	0	0	1	66
0	11	32	1	0	0	0	0	0	66
0	15	44	0	1	0	0	0	2	66
0	5	43	0	1	0	0	0	2	66
0	13	31	0	1	0	0	0	0	67
0	17	70	0	1	0	0	0	2	68
0	19	18	0	1	0	0	0	1	69
0	7	63	1	1	0	0	0	2	70
0	5	66	0	0	0	0	0	2	71
0	9	36	1	0	0	0	0	1	71
0	7	54	0	0	0	0	0	0	71
0	4	3	0	1	0	0	1	0	72
0	4	3	0	1	0	0	1	0	72
0	18	38	0	0	0	0	0	4	73
0	5	38	2	0	0	0	0	0	74
0	10	22	0	0	0	0	0	2	74
0	8	1	2	1	0	0	0	0	74
0	8	27	0	0	0	1	0	1	75
0	9	34	2	0	0	0	0	0	76
0	8	36	0	1	0	0	0	0	77
0	16	7	0	1	0	0	0	2	78
0	5	22	2	0	0	0	0	0	79
0	2	19	2	0	0	0	0	0	79
0	7	19	2	1	0	0	1	0	80
0	16	50	2	0	0	0	0	0	80
0	6	14	2	0	0	0	0	0	80
0	3	26	2	0	0	0	0	0	81
0	3	26	2	0	0	0	0	0	81
0	9	26	2	0	0	0	0	2	82
0	10	19	2	0	0	0	0	0	82
0	14	44	0	0	0	0	0	0	83
0	12	39	2	1	2	0	0	0	84
0	6	58	2	0	1	0	1	1	85
0	10	22	2	0	0	0	0	2	85
0	14	74	2	1	0	0	0	5	86
0	6	45	0	0	2	0	1	1	87
0	8	53	1	0	1	0	0	2	87
0	8	20	0	1	2	0	0	0	87
0	17	49	2	1	0	0	0	2	88
0	9	22	2	1	0	0	0	1	89
0	2	20	1	0	0	0	0	0	90
0	2	41	0	1	0	0	0	0	90
0	4	71	1	0	0	0	0	0	91
0	11	44	0	0	0	0	0	1	92
0	18	40	0	1	1	0	0	4	93
0	6	28	1	1	0	0	0	0	94
0	9	67	0	0	0	0	0	0	95
0	8	37	0	0	0	0	0	1	96
0	18	59	0	0	0	0	0	0	97
0	16	19	2	0	0	0	0	0	98
0	6	33	2	0	0	0	0	0	99
0	9	30	2	0	0	0	0	0	100
0	3	27	2	1	0	0	0	0	101
0	5	15	2	0	0	0	0	0	101
0	9	36	0	0	0	0	0	0	102
0	22	60	0	0	0	0	0	0	103
0	8	32	0	0	0	0	0	1	104
0	10	39	0	0	0	0	0	0	104
0	7	40	2	0	0	0	0	2	105
0	5	72	0	1	0	1	0	0	105
0	11	7	0	1	3	0	1	0	106
0	2	41	0	1	0	0	0	0	107
0	15	41	0	0	0	0	0	1	108
0	15	51	0	0	0	0	0	1	108
0	5	47	0	1	0	0	0	0	108
0	5	47	0	1	0	0	0	0	108
0	16	42	0	0	0	0	0	1	109
0	10	19	0	0	0	0	0	1	110
0	5	62	0	1	0	1	0	0	111
0	10	19	2	0	1	0	0	0	112
0	9	19	0	0	0	0	0	1	112
0	6	27	2	0	0	0	0	0	112
0	11	73	1	0	0	1	0	0	113
0	16	20	0	0	0	0	0	1	114
0	8	58	0	0	0	0	0	0	115
0	4	27	0	1	0	0	0	2	116
0	2	59	1	0	0	0	0	4	117
0	18	64	0	0	0	0	0	2	117
0	4	27	2	0	0	0	0	1	118
0	15	36	0	1	0	0	0	2	118
0	19	24	0	0	0	0	1	1	119
0	6	59	0	1	0	0	0	0	120
0	14	40	2	0	0	0	0	1	121
0	0	41	0	0	0	0	0	0	121
0	14	36	2	0	0	0	0	0	122
0	11	27	0	0	0	0	0	2	123
0	2	7	2	0	0	0	0	1	124
0	6	53	0	0	0	0	0	1	124
0	12	54	2	0	0	0	0	0	125
0	7	22	0	0	0	0	0	1	125
0	8	35	0	0	0	0	0	0	126
0	11	36	0	0	0	0	0	2	127
0	17	27	0	0	0	0	0	2	128
0	21	59	0	0	1	0	0	1	129
0	5	27	0	1	0	0	0	0	130
0	10	23	0	0	0	0	0	1	131
0	23	30	0	0	0	0	0	1	132
1	14	27	2	1	1	0	1	0	0
1	15	36	0	0	0	0	1	2	1
1	20	65	1	1	0	1	0	0	2
1	11	15	2	0	1	1	0	0	3
1	11	1	2	0	0	0	1	0	4
1	13	49	2	0	0	0	0	0	5
1	9	9	2	0	0	0	1	1	5
1	10	34	1	0	1	0	0	1	6
1	10	38	2	0	0	1	0	0	7
1	7	55	0	1	0	1	0	1	8
1	18	15	0	1	0	0	0	0	9
1	5	4	0	1	2	0	1	0	10
1	11	22	2	0	0	0	0	0	11
1	2	36	2	0	0	0	0	1	12
1	11	5	0	1	0	0	0	0	13
1	6	49	0	1	0	0	0	2	13
1	7	68	1	0	0	0	1	2	13
1	10	52	0	1	1	0	0	0	14
1	7	14	2	0	0	0	0	0	15
1	6	32	2	0	0	0	1	0	16
1	11	2	2	0	2	0	0	1	16
1	5	13	0	0	0	0	0	2	17
1	5	20	0	1	0	0	1	0	18
1	12	24	0	1	1	0	0	0	18
1	10	43	0	0	0	0	0	0	19
1	3	36	2	1	1	0	1	0	20
1	6	27	1	1	0	0	0	3	21
1	8	36	0	1	1	0	1	1	22
1	13	36	1	0	0	0	1	0	22
1	6	0	2	1	0	0	1	0	23
1	3	19	0	1	0	0	0	0	24
1	11	15	2	0	1	0	0	1	25
1	6	18	2	0	0	0	0	0	25
1	4	48	2	0	0	0	0	0	26
1	4	19	1	1	1	0	0	0	27
1	6	28	0	1	1	0	1	0	27
1	7	11	2	0	1	0	0	4	28
1	12	8	2	0	0	0	0	0	29
