0	1	2	3	4	5	6	7	8	
48000000000	23500000000	70000000000	2707000000	467408667	8807100000	9702400000	7995850000	417114000000	
83000000000	20690494540	92000000000	3115000000	706897333	8843800000	5429285000	4064050000	468786000000	
82000000000	23124670370	91000000000	4498000000	1009651067	17939300000	22432040000	9277150000	554697000000	
68000000000	21367521370	77000000000	3226000000	612724933	9882700000	7169560000	12766000000	928220000000	
86000000000	21111111110	92000000000	3549000000	805386400	6699400000	4819240000	10576350000	773920000000	
49000000000	22854457690	92000000000	3226000000	732086933	6831700000	13679750000	10317600000	530410000000	
89000000000	22700000000	77000000000	4690000000	890787333	6964000000	5589865000	12936100000	1256083000000	
76000000000	23800000000	118000000000	6470000000	1883201333	4311000000	13251320000	5104200000	280694000000	
73000000000	22000000000	97000000000	3350000000	801543333	4470000000	10358725000	6284450000	136855000000	
75000000000	23000000000	83000000000	4952000000	1013839467	17127000000	11578990000	7091300000	318302000000	
34000000000	21470000000	78000000000	3469000000	667435600	14570000000	13110000000	6920000000	354600000000	
29000000000	23010000000	82000000000	5663000000	1145436133	35590000000	26720000000	4580000000	174800000000	
25000000000	22860000000	82000000000	4090000000	827270667	20450000000	23670000000	5140000000	313730000000	
24000000000	18670000000	88000000000	6107000000	1330000000	8880000000	36060000000	6850000000	632220000000	
38000000000	23340000000	75000000000	5782000000	1069670000	15260000000	17950000000	9350000000	165020000000	
44000000000	20760000000	86000000000	7553000000	1600000000	14090000000	20320000000	7640000000	63610000000	
47000000000	22030000000	84000000000	2869000000	590000000	26650000000	38040000000	3320000000	191720000000	
61000000000	32038959370	85000000000	18077000000	3790144333	30772900000	7780255000	13683920000	444395000000	
64000000000	34529722800	95000000000	4427000000	1037393667	21211700000	5462620000	6701880000	252449000000	
32000000000	36512637430	87000000000	14026000000	3009979600	49372700000	5100000000	17102230000	588460000000	
36000000000	28576675850	86000000000	4345000000	921719333	15124800000	8600000000	9153900000	534224000000	
34000000000	31975014870	87000000000	4530000000	972138000	28750200000	7642760000	5625920000	572783000000	
29000000000	32270787770	84000000000	5810000000	1203832000	45619600000	6209635000	24603300000	904981000000	
35000000000	30276816610	84000000000	4376000000	906707200	39213400000	9048185000	16437060000	733797000000	
54000000000	30483158060	90000000000	5537000000	1229214000	12331000000	9731380000	10192990000	1227910000000	
45000000000	37035608190	83000000000	6760000000	1383997333	39980200000	4617125000	8704480000	586173000000	
50000000000	38578758540	106000000000	6703000000	1752611067	46640100000	4667645000	11783880000	887160000000	
66000000000	31446540880	90000000000	9245000000	2052390000	45962400000	10355260000	23381900000	1102110000000	
35000000000	35250761100	90000000000	6817000000	1513374000	50609400000	6966895000	22037030000	667928000000	
36000000000	34174890000	80000000000	6590000000	1300426667	10280900000	5065915000	15721870000	581313000000	
66000000000	36212278880	101000000000	15533000000	3869788067	74706900000	7539550000	22320240000	864968000000	
53000000000	36790166200	101000000000	10175000000	2534931667	27184100000	20030000000	10263090000	695754000000	
28000000000	35855814660	87000000000	8576000000	1840409600	68510200000	4794200000	21443660000	358624000000	
43000000000	34422173620	89000000000	23194000000	5091856133	31212800000	8300955000	6710260000	960246000000	
